               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11532,            0.030091,            0.044834,           0.0017625,              0.3125,            0.043045,            0.017481,             0.11299,            0.017246,            0.048303,              0.0892,              0.0012,              0.0012
                   1,             0.10185,            0.030508,            0.045031,           0.0023426,             0.58333,             0.12806,            0.014672,              0.0994,             0.01484,            0.046387,            0.077479,           0.0024794,           0.0024794
                   2,            0.084628,            0.031682,            0.044181,           0.0020396,              0.5625,           0.0035815,            0.001348,            0.069722,            0.012485,            0.047229,            0.065737,           0.0037373,           0.0037373
                   3,            0.066674,            0.029893,            0.040022,           0.0028386,             0.70833,             0.14852,            0.022184,            0.055664,            0.012946,            0.044653,            0.053974,           0.0049738,           0.0049738
                   4,             0.06457,            0.029168,            0.039222,           0.0035509,             0.79167,            0.075006,            0.034453,             0.05834,            0.012018,            0.042529,            0.042189,           0.0061888,           0.0061888
                   5,            0.064195,            0.027866,            0.036743,           0.0014872,              0.3125,            0.042589,            0.022911,            0.085568,            0.010446,            0.044629,            0.030382,           0.0073824,           0.0073824
                   6,            0.059652,            0.028005,            0.035315,            0.003297,              0.6875,            0.035349,            0.011928,            0.065032,            0.011222,            0.037115,            0.018555,           0.0085545,           0.0085545
                   7,            0.061641,            0.026923,            0.033097,             0.81052,             0.08223,             0.18865,            0.028662,            0.068076,            0.010762,            0.037146,           0.0094225,           0.0094225,           0.0094225
                   8,            0.058025,            0.025019,            0.031828,            0.082536,              0.8125,            0.077237,            0.024607,            0.060315,            0.011649,             0.04516,           0.0094225,           0.0094225,           0.0094225
                   9,            0.054478,            0.026064,             0.03183,            0.072297,              0.8125,             0.16158,            0.057821,            0.064024,            0.011501,            0.050024,             0.00934,             0.00934,             0.00934
                  10,            0.053307,            0.025297,            0.029104,             0.13381,             0.47917,             0.22082,            0.090695,            0.053703,            0.014253,            0.048438,           0.0092575,           0.0092575,           0.0092575
                  11,            0.050619,            0.023655,            0.030246,             0.23752,              0.5625,             0.26828,            0.075145,            0.061184,            0.011251,            0.042725,            0.009175,            0.009175,            0.009175
                  12,            0.046342,            0.023045,            0.028184,             0.42308,             0.33994,             0.33188,            0.096756,            0.072068,            0.009835,            0.038031,           0.0090925,           0.0090925,           0.0090925
                  13,            0.048168,            0.024427,            0.028311,             0.34868,              0.4967,             0.47081,             0.24738,            0.065599,             0.01153,            0.045795,             0.00901,             0.00901,             0.00901
                  14,            0.047743,            0.023343,            0.025502,             0.70834,              0.3125,             0.40928,             0.19062,            0.061837,            0.010896,            0.057489,           0.0089275,           0.0089275,           0.0089275
                  15,            0.047952,            0.021676,            0.025183,             0.18186,             0.37109,             0.45308,             0.22567,            0.059544,            0.010036,            0.065112,            0.008845,            0.008845,            0.008845
                  16,            0.041664,            0.020917,            0.024079,             0.63229,             0.39583,              0.3746,             0.16105,            0.057843,            0.009356,            0.068823,           0.0087625,           0.0087625,           0.0087625
                  17,            0.042532,            0.020854,            0.024281,             0.37659,             0.38912,             0.39128,             0.14509,            0.052668,            0.010156,             0.05802,             0.00868,             0.00868,             0.00868
